review_index,sentence,score
436,"""The cultural references make the film relatable",0
436,"""",0
437,"""The cultural references feel out of touch and forced",-1
437,"""",0
438,"""A magical world full of surprises",0
438,"""",0
439,"""Neville Longbottom's growth is a highlight of the film",4
439,"""",0
440,"""The cultural references feel forced and out of place",-1
440,"""",0
441,"""The magic school concept is ingenious",0
441,"""",0
442,"""Hagrid's love for magical creatures becomes a cliché",3
442,"""",0
443,"""Hermione Granger's intelligence is portrayed unrealistically",0
443,"""",0
444,"""Severus Snape's mysterious demeanor added intrigue to the storyline",0
444,"""",0
445,"""The film's tone captures the magic of the wizarding world",0
445,"""",0
446,"""The magical soundtrack added depth to the emotional moments",0
446,"""",0
447,"""Albus Dumbledore's wisdom is inspiring",4
447,"""",0
448,"""Hermione Granger's character feels overrated",0
448,"""",0
449,"""The magical world lacks the depth and complexity expected",0
449,"""",0
450,"""Neville Longbottom's character development is impressive",3
450,"""",0
451,"""Neville Longbottom's growth is inspiring",5
451,"""",0
452,"""The soundtrack adds an enchanting touch to the entire experience",0
452,"""",0
453,"""The soundtrack is iconic and instantly transports you to the wizarding world",0
453,"""",0
454,"""Albus Dumbledore steals the show with his wisdom",-1
454,"""",0
455,"""Magical world-building at its finest",3
455,"""",0
456,"""The pacing kept me on the edge of my seat throughout the film",0
456,"""",0
457,"""The film's tone is inconsistent, making it hard to follow",-1
457,"""",0
458,"""The soundtrack failed to evoke any emotions",-2
458,"""",0
459,"""Severus Snape's character lacks a clear motive",1
459,"""",0
460,"""The friendships feel genuine and heartwarming",3
460,"""",0
461,"""Draco Malfoy's character is one-dimensional and cliché",0
461,"""",0
462,"""Draco Malfoy's rivalry adds tension",-1
462,"""",0
463,"""Hermione Granger's intelligence shines throughout the film",0
463,"""",0
464,"""The characters are relatable and lovable",3
464,"""",0
465,"""The character interactions felt forced, and the story was predictable",-1
465,"""",0
466,"""Ron Weasley's loyalty is a highlight of the film",5
466,"""",0
467,"""Magical storytelling at its finest",3
467,"""",0
468,"""Draco Malfoy's character adds the perfect amount of tension",2
468,"""",0
469,"""The characters are lovable, but the plot is a bit predictable",3
469,"""",0
470,"""Ron Weasley's character development is one of the highlights of the movie",0
470,"""",0
471,"""The friendship dynamics feel forced and unnatural",1
471,"""",0
472,"""Draco Malfoy's character adds a layer of complexity",0
472,"""",0
473,"""I appreciate Hagrid's role as a guide to the magical world; his character is endearing",2
473,"""",0
474,"""The montage sequences were poorly executed, diminishing the overall experience",-2
474,"""",0
475,"""Draco Malfoy's character adds complexity",0
475,"""",0
476,"""Hermione Granger's intelligence shines brightly",0
476,"""",0
477,"""Neville Longbottom's character growth was both heartwarming and inspirational",7
477,"""",0
478,"""Draco Malfoy's character provided a compelling antagonist",0
478,"""",0
479,"""Albus Dumbledore's presence is both commanding and wise",0
479,"""",0
480,"""The magical world feels rich and immersive",2
480,"""",0
481,"""The magic felt real and mesmerizing",3
481,"""",0
482,"""Neville Longbottom's bravery stole the show for me",0
482,"""",0
483,"""The timeless soundtrack captured the essence of the magical world",0
483,"""",0
484,"""The film's magic is truly spellbinding",0
484,"""",0
485,"""Severus Snape's character adds an intriguing layer",0
485,"""",0
486,"""The soundtrack failed to enhance the emotional moments",-2
486,"""",0
487,"""I enjoyed the soundtrack and the magical feel of the movie",2
487,"""",0
488,"""Albus Dumbledore's wisdom resonates with the audience",1
488,"""",0
489,"""The characters' growth is heartwarming",5
489,"""",0
490,"""The film's exploration of themes like friendship and bravery is truly timeless",7
490,"""",0
